"Country,Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical"
202.0,St. Vincent Grenadines,,,,14
203.0,Guinea-Bissau,,,,508
204.0,Comoros,,,,9
205.0,Antigua and Barbuda,,,,6
206.0,Liberia,,,,12
207.0,Sierra Leone,,,,
208.0,Chad,,,,"2,633"
209.0,British Virgin Islands,,,,
210.0,Cook Islands,,,,4
211.0,Turks and Caicos,,,,19
214.0,Palau,,,,3
215.0,St. Barth,,,,
216.0,Nauru,,,,45
217.0,Kiribati,,,,"2,354"
218.0,Anguilla,,,,13
219.0,Wallis and Futuna,,,,"3,104"
220.0,Saint Pierre Miquelon,,,,"1,001"
221.0,Tuvalu,,,,"2,942"
222.0,Saint Helena,,,,"2,164"
224.0,Montserrat,,,,19
225.0,Niue,1.0,,,1
228.0,Tokelau,,,,23
231.0,China,,,,"118,977"
,Total:,464.0,0.0,"+10,672","20,551,665"
