"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
59,Bulgaria,"1,309,228",,"38,431                                ",,"1,269,377",,"1,420",16,"191,279","5,615","11,284,960","1,648,740"
60,Morocco,"1,275,168",,"16,297                                ",,"1,256,151",,"2,720",3,"33,759",431,"13,001,033","344,191"
61,Croatia,"1,274,014",,"18,275                                ",,"1,255,594",,145,6,"313,852","4,502","5,615,663","1,383,412"
62,Guatemala,"1,263,197",,"20,210                                ",,"1,237,503",,"5,484",5,"67,972","1,087","7,482,292","402,619"
63,Lebanon,"1,238,552",,"10,936                                ",,"1,087,587",,"140,029",74,"185,277","1,636","4,795,578","717,380"
64,Costa Rica,"1,235,961",,"9,386                                ",,"860,711",,"365,864",52,"238,494","1,811","4,659,757","899,158"
65,Bolivia,"1,203,252",,"22,392                                ",,"1,171,400",,"9,460",220,"100,332","1,867","2,710,261","225,993"
66,Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,44,"95,741","2,442","5,013,383","416,164"
67,Cuba,"1,114,924",,"8,530                                ",,"1,106,277",,117,2,"98,617",754,"14,345,940","1,268,918"
68,UAE,"1,067,030",,"2,349                                ",,"1,054,525",,"10,156",,"105,837",233,"200,732,262","19,910,389"
70,Panama,"1,045,852",,"8,643                                ",,"1,036,430",,779,16,"235,183","1,944","7,747,635","1,742,230"
71,Uruguay,"1,038,774",,"7,634                                ",,"1,030,944",,196,18,"297,131","2,184","6,114,822","1,749,083"
73,Nepal,"1,003,371",,"12,031                                ",,"991,322",,18,,"33,196",398,"6,047,766","200,088"
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
75,Latvia,"978,172",,"6,386                                ",,"971,406",,380,13,"529,074","3,454","7,878,215","4,261,173"
76,Saudi Arabia,"841,469",,"9,646                                ",,"827,923",,"3,900",66,"23,475",269,"45,481,735","1,268,848"
77,Azerbaijan,"831,954",,"10,284                                ",,"821,661",,9,,"80,771",998,"7,647,889","742,499"
78,Paraguay,"811,307",,"19,965                                ",,N/A,N/A,N/A,7,"111,049","2,733","2,657,506","363,751"
79,Bahrain,"722,593",,"1,566                                ",,"720,867",,160,3,"405,045",878,"10,879,435","6,098,396"
80,Sri Lanka,"672,549",,"16,880                                ",,"655,660",,9,,"31,171",782,"6,486,117","300,619"
81,Kuwait,"665,982",,"2,570                                ",,"660,237",,"3,175",,"152,039",587,"8,455,743","1,930,391"
82,Dominican Republic,"662,418",,"4,384                                ",,"644,785",,"13,249",4,"59,913",397,"3,740,928","338,350"
84,Myanmar,"640,496",,"19,494                                ",,"619,421",,"1,581",,"11,597",353,"10,867,198","196,773"
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907"
